연도별,사고(건),사망(명),실종(명)
2007,131,124,19
2008,141,155,
2009,67,68,
2010,53,58,
2011,46,52,
2012,25,25,
2013,37,37,
2014,23,24,
2015,33,36,
2016,34,35,
2017,36,37,
2018,32,33,
2019,27,28,
